scenario_code,economic,environmental,social,technological,SUSTAIN_INDEX_GEOM,SUSTAIN_INDEX_ARITH
BASE,44.89725714285714,41.67929292929293,49.64285714285714,64.92032967032966,49.555790644343006,50.28493422133422
DES_BASE_2025,50.89725714285714,44.17929292929293,49.64285714285714,64.92032967032966,51.88450243734246,52.40993422133422
DES_BASE_2030,56.07582857142857,44.17929292929293,49.64285714285714,64.92032967032966,53.15669689010031,53.70457707847708
DES_BASE_2035,56.254400000000004,44.17929292929293,49.64285714285714,64.92032967032966,53.19896533774108,53.749219935619934
DES_INTEGRATED_2030,53.51509619031694,44.17929292929293,49.64285714285714,66.42032967032966,52.840049618326745,53.43939398319917
DES_INTEGRATED_2035,57.32582857142857,44.17929292929293,49.64285714285714,67.92032967032966,54.05755687386563,54.76707707847708
DES_MAINT_PUSH_2030,53.51509619031694,44.17929292929293,49.64285714285714,64.92032967032966,52.53916171893713,53.06439398319917
DES_MAINT_PUSH_2035,57.14725714285714,44.17929292929293,49.64285714285714,64.92032967032966,53.40881094524622,53.97243422133422
DES_MRV_PUSH_2030,56.432971428571435,44.17929292929293,49.64285714285714,66.42032967032966,53.54604131220092,54.16886279276279
DES_MRV_PUSH_2035,56.79011428571429,44.17929292929293,49.64285714285714,67.92032967032966,53.93081885519078,54.6331485070485
MILP_CO2CAP,45.69433370545758,44.14439684281358,49.64285714285714,64.92032967032966,50.49447433983622,51.100479340364494
MILP_MIN_CO2,45.75491403487937,44.26408187795571,49.64285714285714,64.92032967032966,50.54540403522262,51.145545681505475
MILP_MIN_COST,45.62898285662697,44.01550624778448,49.64285714285714,64.92032967032966,50.439525644733905,51.05191897939957
SD_BAU_2035,46.28491428571428,38.62247474747475,49.64285714285714,73.92032967032966,50.60868541228317,52.117643961593956
SD_CIRC_PUSH_2035,46.28491428571428,41.552579012853656,49.64285714285714,73.92032967032966,51.54238705717682,52.85017002793868
SD_CO2_LENIENT_2035,44.835942857142854,38.47247474747475,49.64285714285714,73.92032967032966,50.1590466611937,51.7179011044511
SD_CO2_STRICT_2035,45.28491428571428,38.74747474747475,49.64285714285714,73.92032967032966,50.37376415207445,51.898893961593956
SD_ENERGY_PUSH_2035,45.835942857142854,51.709227817299755,49.64285714285714,73.92032967032966,54.306113310112416,55.27708937190735
SD_INTEGRATED_2035,47.18285714285714,55.14183544806569,49.64285714285714,73.92032967032966,55.586781568717505,56.47196985102741
SD_MAINT_PUSH_2035,47.18285714285714,38.672474747474745,49.64285714285714,73.92032967032966,50.868826167927004,52.35462967587967
SD_MRV_PUSH_2035,47.18285714285714,38.647474747474746,49.64285714285714,73.92032967032966,50.860603077279556,52.34837967587967
SD_REALITY_CHECK_2035,44.937999999999995,38.34747474747475,49.64285714285714,73.92032967032966,50.14675020442076,51.71216539016539
SOCIAL_PUSH,44.83088412466341,41.67929292929293,67.125,64.92032967032966,53.418374127762135,54.6388766810715
VSMC_KAIZEN,64.52414763352151,75.39960851426481,52.32142857142857,69.88758241758241,64.94455486874968,65.53319178419932
