config_id,company_id,archetype,strategy,priority_strategy,VSM_PCE,VSM_NVAT_R,VSM_OEE,VSM_WIP_I,VSM_DR,VSM_EI,VSM_GHGI,VSM_WI,VSM_IDR,VSM_SHR,VSM_VAT_min,VSM_NVAT_min,VSM_PLT_min,severity_ENERGY,severity_MAINT,severity_CIRCULAR,severity_DIGITAL,severity_SOCIAL
RO-A1-C00-BASE-L000,RO-A1-C00,RO-A1,BASE,INTEGRATED,27.140661722614034,72.85933827738597,72.50000000000001,0.5583499999999999,2.4235003799999997,5.17,0.8151202949999999,0.148403191572648,38.67,29.9075,8.511999999999999,22.850536724399998,31.362536724399995,0.0,0.9524297394974659,0.17446217540359998,0.3810714285714287,0.19629999999999992
RO-A1-C00-ENERGY-L050,RO-A1-C00,RO-A1,ENERGY,INTEGRATED,27.140661722614034,72.85933827738597,72.50000000000001,0.5583499999999999,2.4235003799999997,5.17,0.8151202949999999,0.148403191572648,38.67,29.9075,8.511999999999999,22.850536724399998,31.362536724399995,0.0,0.9524297394974659,0.17446217540359998,0.3810714285714287,0.19629999999999992
RO-A1-C00-MAINT-L050,RO-A1-C00,RO-A1,MAINT,INTEGRATED,27.140661722614034,72.85933827738597,72.50000000000001,0.5583499999999999,2.4235003799999997,5.17,0.8151202949999999,0.148403191572648,38.67,29.9075,8.511999999999999,22.850536724399998,31.362536724399995,0.0,0.9524297394974659,0.17446217540359998,0.3810714285714287,0.19629999999999992
RO-A1-C00-CIRCULAR-L050,RO-A1-C00,RO-A1,CIRCULAR,INTEGRATED,27.140661722614034,72.85933827738597,72.50000000000001,0.5583499999999999,2.4235003799999997,5.17,0.8151202949999999,0.148403191572648,38.67,29.9075,8.511999999999999,22.850536724399998,31.362536724399995,0.0,0.9524297394974659,0.17446217540359998,0.3810714285714287,0.19629999999999992
RO-A1-C00-DIGITAL-L050,RO-A1-C00,RO-A1,DIGITAL,INTEGRATED,27.140661722614034,72.85933827738597,72.50000000000001,0.5583499999999999,2.4235003799999997,5.17,0.8151202949999999,0.148403191572648,38.67,29.9075,8.511999999999999,22.850536724399998,31.362536724399995,0.0,0.9524297394974659,0.17446217540359998,0.3810714285714287,0.19629999999999992
RO-A1-C00-SOCIAL-L050,RO-A1-C00,RO-A1,SOCIAL,INTEGRATED,27.140661722614034,72.85933827738597,72.50000000000001,0.5583499999999999,2.4235003799999997,5.17,0.8151202949999999,0.148403191572648,38.67,29.9075,8.511999999999999,22.850536724399998,31.362536724399995,0.0,0.9524297394974659,0.17446217540359998,0.3810714285714287,0.19629999999999992
RO-A1-C00-INTEGRATED-L050,RO-A1-C00,RO-A1,INTEGRATED,INTEGRATED,27.140661722614034,72.85933827738597,72.50000000000001,0.5583499999999999,2.4235003799999997,5.17,0.8151202949999999,0.148403191572648,38.67,29.9075,8.511999999999999,22.850536724399998,31.362536724399995,0.0,0.9524297394974659,0.17446217540359998,0.3810714285714287,0.19629999999999992
RO-A2-C00-BASE-L000,RO-A2-C00,RO-A2,BASE,INTEGRATED,27.404502322633725,72.59549767736628,72.50000000000001,0.54475,2.0323658250000003,0.1692,0.024578266949999997,0.011464603388441002,37.650000000000006,21.104999999999997,8.155,21.60288395640625,29.757883956406246,0.0,0.9465666150525839,0.16890024203150011,0.34464285714285725,0.0
RO-A2-C00-ENERGY-L050,RO-A2-C00,RO-A2,ENERGY,INTEGRATED,27.404502322633725,72.59549767736628,72.50000000000001,0.54475,2.0323658250000003,0.1692,0.024578266949999997,0.011464603388441002,37.650000000000006,21.104999999999997,8.155,21.60288395640625,29.757883956406246,0.0,0.9465666150525839,0.16890024203150011,0.34464285714285725,0.0
RO-A2-C00-MAINT-L050,RO-A2-C00,RO-A2,MAINT,INTEGRATED,27.404502322633725,72.59549767736628,72.50000000000001,0.54475,2.0323658250000003,0.1692,0.024578266949999997,0.011464603388441002,37.650000000000006,21.104999999999997,8.155,21.60288395640625,29.757883956406246,0.0,0.9465666150525839,0.16890024203150011,0.34464285714285725,0.0
