variable_name,value,unit,timestamp,scenario_code
output_qty_fu,5760.0,FU,2025-10-01T00:00:00,BASE
electricity_kwh,960000.0,kWh,2025-10-01T00:00:00,BASE
renewable_energy_kwh,240000.0,kWh,2025-10-01T00:00:00,BASE
diesel_kwh,480000.0,kWh,2025-10-01T00:00:00,BASE
water_withdrawn_m3,11520.0,m3,2025-10-01T00:00:00,BASE
waste_generated_t,768.0,t,2025-10-01T00:00:00,BASE
waste_recovered_t,499.2,t,2025-10-01T00:00:00,BASE
material_total_t,8640.0,t,2025-10-01T00:00:00,BASE
material_circular_t,1728.0,t,2025-10-01T00:00:00,BASE
operating_cost_eur,4800000.0,EUR,2025-10-01T00:00:00,BASE
fuel_cost_eur,576000.0,EUR,2025-10-01T00:00:00,BASE
electricity_cost_eur,384000.0,EUR,2025-10-01T00:00:00,BASE
maintenance_cost_eur,336000.0,EUR,2025-10-01T00:00:00,BASE
operating_hours_h,48000.0,h,2025-10-01T00:00:00,BASE
logistics_cost_eur,864000.0,EUR,2025-10-01T00:00:00,BASE
transport_work_tkm,43200000.0,tkm,2025-10-01T00:00:00,BASE
lti_count,2.88,count,2025-10-01T00:00:00,BASE
hours_worked_h,2400000.0,h,2025-10-01T00:00:00,BASE
training_hours_h,11520.0,h,2025-10-01T00:00:00,BASE
employees_avg,1152.0,count,2025-10-01T00:00:00,BASE
employees_total,1152.0,count,2025-10-01T00:00:00,BASE
suggestions_count,864.0,count,2025-10-01T00:00:00,BASE
community_incidents_count,1.92,count,2025-10-01T00:00:00,BASE
substantiated_complaints_count,3.84,count,2025-10-01T00:00:00,BASE
employees_health_checks,1008.0,count,2025-10-01T00:00:00,BASE
sustainable_sales_share,0.22,fraction,2025-10-01T00:00:00,BASE
customer_survey_score,0.68,fraction,2025-10-01T00:00:00,BASE
contract_renewal_rate,0.75,fraction,2025-10-01T00:00:00,BASE
digital_processes_count,17.28,count,2025-10-01T00:00:00,BASE
core_processes_total,23.04,count,2025-10-01T00:00:00,BASE
assets_connected,307.2,count,2025-10-01T00:00:00,BASE
assets_total,480.0,count,2025-10-01T00:00:00,BASE
mrv_points_active_valid,134.4,count,2025-10-01T00:00:00,BASE
mrv_points_required,192.0,count,2025-10-01T00:00:00,BASE
dpp_volume,4608.0,FU,2025-10-01T00:00:00,BASE
shipped_volume_total,5760.0,FU,2025-10-01T00:00:00,BASE
data_completeness,0.92,fraction,2025-10-01T00:00:00,BASE
data_consistency,0.88,fraction,2025-10-01T00:00:00,BASE
data_accuracy,0.85,fraction,2025-10-01T00:00:00,BASE
ot_it_integration_score,3.5,score,2025-10-01T00:00:00,BASE
decisions_supported,13.44,count,2025-10-01T00:00:00,BASE
decisions_total,19.2,count,2025-10-01T00:00:00,BASE
oee_availability,0.86,fraction,2025-10-01T00:00:00,BASE
oee_performance,0.9,fraction,2025-10-01T00:00:00,BASE
