archetype,archetype_name,strategy,profile,Environmental,Economic,Social,Technological,GEOM,ARITH,WSM,WSM_rank,TOPSIS,TOPSIS_rank,priority_strategy
RO-A1,Automotive component supplier,CIRCULAR,NEUTRAL,54.09594560209679,47.51991845298346,63.825791701662645,51.23242234242428,53.84499935476723,54.16851952479179,54.1685195247918,6,22.79145948927191,6,INTEGRATED
RO-A1,Automotive component supplier,DIGITAL,NEUTRAL,49.98213597774125,50.13851466591268,63.89909960143465,61.51841833115646,56.023668533043036,56.38454214406126,56.38454214406126,2,42.43313672837975,3,INTEGRATED
RO-A1,Automotive component supplier,ENERGY,NEUTRAL,60.21407761250382,49.59892692841108,63.82433760143465,51.21395757762428,55.8967095329433,56.21282492999346,56.21282492999346,3,46.251709769607885,2,INTEGRATED
RO-A1,Automotive component supplier,INTEGRATED,NEUTRAL,62.7972363272553,53.661439167521394,69.67123608022227,59.647042896085665,61.173217024013574,61.444238617771155,61.44423861777116,1,89.43217605453714,1,INTEGRATED
RO-A1,Automotive component supplier,MAINT,NEUTRAL,50.93050017255933,51.66545224459789,64.5099257561428,52.125913434840605,54.53993289599313,54.80794790203515,54.80794790203515,5,23.315907215377308,5,INTEGRATED
RO-A1,Automotive component supplier,SOCIAL,NEUTRAL,49.32760643849435,48.36448634222517,70.85839798488199,51.22318996002428,54.24611534437161,54.943420181406445,54.94342018140645,4,24.757436924485653,4,INTEGRATED
RO-A1,Automotive component supplier,CIRCULAR,ENV_40,54.09594560209679,47.51991845298346,63.825791701662645,51.23242234242428,53.84499935476723,54.16851952479179,54.1540047402528,4,30.151759796697903,3,INTEGRATED
RO-A1,Automotive component supplier,DIGITAL,ENV_40,49.98213597774125,50.13851466591268,63.89909960143465,61.51841833115646,56.023668533043036,56.38454214406126,55.104060910797266,3,28.912269773382803,4,INTEGRATED
RO-A1,Automotive component supplier,ENERGY,ENV_40,60.21407761250382,49.59892692841108,63.82433760143465,51.21395757762428,55.8967095329433,56.21282492999346,57.013075466495536,2,61.54923242660482,2,INTEGRATED
RO-A1,Automotive component supplier,INTEGRATED,ENV_40,62.7972363272553,53.661439167521394,69.67123608022227,59.647042896085665,61.173217024013574,61.444238617771155,61.71483815966799,1,93.28410383725692,1,INTEGRATED
